DISTRICT	ST_NM
Adilabad	Andhra Pradesh
Agra	Uttar Pradesh
Ahmadabad	Gujarat
Ahmadnagar	Maharashtra
Aizawl	Mizoram
Ajmer	Rajasthan
Akola	Maharashtra
Alappuzha	Kerala
Aligarh	Uttar Pradesh
Alirajpur	Madhya Pradesh
Allahabad	Uttar Pradesh
Almora	Uttarakhand
Alwar	Rajasthan
Ambala	Haryana
Ambedkar Nagar	Uttar Pradesh
Amravati	Maharashtra
Amreli	Gujarat
Amritsar	Punjab
Anand	Gujarat
Anantapur	Andhra Pradesh
Anantnag	Jammu & Kashmir
Anjaw	Arunanchal Pradesh
Anugul	Odisha
Anuppur	Madhya Pradesh
Araria	Bihar
Ariyalur	Tamil Nadu
Ashoknagar	Madhya Pradesh
Auraiya	Uttar Pradesh
Aurangabad	Bihar
Aurangabad	Maharashtra
Azamgarh	Uttar Pradesh
Badgam	Jammu & Kashmir
Bagalkot	Karnataka
Bageshwar	Uttarakhand
Baghpat	Uttar Pradesh
Bahraich	Uttar Pradesh
Baksa	Assam
Balaghat	Madhya Pradesh
Balangir	Odisha
Baleshwar	Odisha
Ballia	Uttar Pradesh
Balrampur	Uttar Pradesh
Banas Kantha	Gujarat
Banda	Uttar Pradesh
Bandipore	Jammu & Kashmir
Bangalore Rural	Karnataka
Bangalore	Karnataka
Banka	Bihar
Bankura	West Bengal
Banswara	Rajasthan
Bara Banki	Uttar Pradesh
Bargarh	Odisha
Baramula	Jammu & Kashmir
Baran	Rajasthan
Barddhaman	West Bengal
Bareilly	Uttar Pradesh
Barmer	Rajasthan
Barnala	Punjab
Barpeta	Assam
Barwani	Madhya Pradesh
Bastar	Chhattisgarh
Basti	Uttar Pradesh
Bathinda	Punjab
Bauda	Odisha
Begusarai	Bihar
Belgaum	Karnataka
Bellary	Karnataka
Betul	Madhya Pradesh
Bhadrak	Odisha
Bhagalpur	Bihar
Bhandara	Maharashtra
Bharatpur	Rajasthan
Bharuch	Gujarat
Bhavnagar	Gujarat
Bhilwara	Rajasthan
Bhind	Madhya Pradesh
Bhiwani	Haryana
Bhojpur	Bihar
Bhopal	Madhya Pradesh
Bid	Maharashtra
Bidar	Karnataka
Bijapur	Chhattisgarh
Bijapur	Karnataka
Bijnor	Uttar Pradesh
Bikaner	Rajasthan
Bilaspur	Chhattisgarh
Bilaspur	Himachal Pradesh
Birbhum	West Bengal
Bishnupur	Manipur
Bokaro	Jharkhand
Bongaigaon	Assam
Budaun	Uttar Pradesh
Bulandshahr	Uttar Pradesh
Buldana	Maharashtra
Bundi	Rajasthan
Burhanpur	Madhya Pradesh
Buxar	Bihar
Cachar	Assam
Chamba	Himachal Pradesh
Chamoli	Uttarakhand
Champawat	Uttarakhand
Champhai	Mizoram
Chamrajnagar	Karnataka
Chandauli	Uttar Pradesh
Chandel	Manipur
Chandigarh	Chandigarh
Chandrapur	Maharashtra
Changlang	Arunanchal Pradesh
Chatra	Jharkhand
Chennai	Tamil Nadu
Chhatarpur	Madhya Pradesh
Chhindwara	Madhya Pradesh
Chikkaballapura	Karnataka
Chikmagalur	Karnataka
Chirang	Assam
Chitradurga	Karnataka
Chitrakoot	Uttar Pradesh
Chittaurgarh	Rajasthan
Chittoor	Andhra Pradesh
Churachandpur	Manipur
Churu	Rajasthan
Coimbatore	Tamil Nadu
Cuddalore	Tamil Nadu
Y.s.r.	Andhra Pradesh
Cuttack	Odisha
Dadra & Nagar Haveli	Dadara & Nagar Havelli
Dakshin Bastar Dantewada	Chhattisgarh
Dakshin Dinajpur	West Bengal
Dakshina Kannada	Karnataka
Daman	Daman & Diu
Damoh	Madhya Pradesh
Darbhanga	Bihar
Darjiling	West Bengal
Darrang	Assam
Datia	Madhya Pradesh
Davanagere	Karnataka
Debagarh	Odisha
Dehradun	Uttarakhand
Deoghar	Jharkhand
Deoria	Uttar Pradesh
Dewas	Madhya Pradesh
Dhalai	Tripura
Dhamtari	Chhattisgarh
Dhanbad	Jharkhand
Dhar	Madhya Pradesh
Dharmapuri	Tamil Nadu
Dharwad	Karnataka
Dhaulpur	Rajasthan
Dhemaji	Assam
Dhenkanal	Odisha
Dhubri	Assam
Dhule	Maharashtra
Dibang Valley	Arunanchal Pradesh
Dibrugarh	Assam
Dindigul	Tamil Nadu
Dindori	Madhya Pradesh
Diu	Daman & Diu
Doda	Jammu & Kashmir
Dohad	Gujarat
Dumka	Jharkhand
Dungarpur	Rajasthan
Durg	Chhattisgarh
Dimapur	Nagaland
East Garo Hills	Meghalaya
East Godavari	Andhra Pradesh
East Kameng	Arunanchal Pradesh
East Khasi Hills	Meghalaya
East Nimar	Madhya Pradesh
East Siang	Arunanchal Pradesh
Ernakulam	Kerala
Erode	Tamil Nadu
Etah	Uttar Pradesh
Etawah	Uttar Pradesh
Faizabad	Uttar Pradesh
Faridabad	Haryana
Faridkot	Punjab
Farrukhabad	Uttar Pradesh
Fatehabad	Haryana
Fatehgarh Sahib	Punjab
Fatehpur	Uttar Pradesh
Firozabad	Uttar Pradesh
Firozpur	Punjab
Gadag	Karnataka
Gajapati	Odisha
Ganderbal	Jammu & Kashmir
Gandhinagar	Gujarat
Ganganagar	Rajasthan
Ganjam	Odisha
Garhchiroli	Maharashtra
Garhwa	Jharkhand
Garhwal	Uttarakhand
Gautam Buddha Nagar	Uttar Pradesh
Gaya	Bihar
Ghaziabad	Uttar Pradesh
Ghazipur	Uttar Pradesh
Giridih	Jharkhand
Goalpara	Assam
Godda	Jharkhand
Golaghat	Assam
Gonda	Uttar Pradesh
Gondiya	Maharashtra
Gopalganj	Bihar
Gorakhpur	Uttar Pradesh
Gulbarga	Karnataka
Gumla	Jharkhand
Guna	Madhya Pradesh
Guntur	Andhra Pradesh
Gurdaspur	Punjab
Gurgaon	Haryana
Gwalior	Madhya Pradesh
Hailakandi	Assam
Hamirpur	Himachal Pradesh
Hamirpur	Uttar Pradesh
Hanumangarh	Rajasthan
Haora	West Bengal
Harda	Madhya Pradesh
Hardoi	Uttar Pradesh
Hardwar	Uttarakhand
Hassan	Karnataka
Mahamaya Nagar	Uttar Pradesh
Haveri	Karnataka
Hazaribagh	Jharkhand
Hingoli	Maharashtra
Hisar	Haryana
Hoshangabad	Madhya Pradesh
Hoshiarpur	Punjab
Hugli	West Bengal
Hyderabad	Andhra Pradesh
Idukki	Kerala
Imphal East	Manipur
Imphal West	Manipur
Indore	Madhya Pradesh
Jabalpur	Madhya Pradesh
Jagatsinghapur	Odisha
Jaintia Hills	Meghalaya
Jaipur	Rajasthan
Jaisalmer	Rajasthan
Jajapur	Odisha
Jalandhar	Punjab
Jalaun	Uttar Pradesh
Jalgaon	Maharashtra
Jalna	Maharashtra
Jalor	Rajasthan
Jalpaiguri	West Bengal
Jammu	Jammu & Kashmir
Jamnagar	Gujarat
Jamtara	Jharkhand
Jamui	Bihar
Janjgir-champa	Chhattisgarh
Jashpur	Chhattisgarh
Jaunpur	Uttar Pradesh
Jhabua	Madhya Pradesh
Jhajjar	Haryana
Jhalawar	Rajasthan
Jhansi	Uttar Pradesh
Jharsuguda	Odisha
Jhunjhunun	Rajasthan
